City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,macapa,0.0389,-51.0664,25.99000000000001,89,0,2.57,BR,2024-08-28
254,san antonio de pale,-1.4014,5.6325,22.760000000000048,81,99,4.9,GQ,2024-08-28
255,kristiansund,63.1115,7.732,15.360000000000014,88,75,1.03,NO,2024-08-28
256,celestun,20.8667,-90.4,27.410000000000025,79,47,4.23,MX,2024-08-28
257,udachny,66.4167,112.4,12.330000000000041,60,94,2.96,RU,2024-08-28
258,joshimath,30.5667,79.5667,21.910000000000025,69,57,2.86,IN,2024-08-28
259,nikolayevsk-on-amure,53.1406,140.73,25.960000000000036,45,0,2.17,RU,2024-08-28
260,bonthe,7.5264,-12.505,24.58000000000004,93,100,4.96,SL,2024-08-28
261,syktyvkar,61.6764,50.8099,14.850000000000023,77,0,2.0,RU,2024-08-28
262,mount gambier,-37.8333,140.7667,11.330000000000041,70,66,8.81,AU,2024-08-28
263,kavaratti,10.5669,72.642,27.350000000000023,84,97,5.4,IN,2024-08-28
264,colonia,50.9333,6.95,16.650000000000034,80,6,1.86,DE,2024-08-28
265,trincomalee,8.5711,81.2335,29.850000000000023,68,100,5.53,LK,2024-08-28
266,mirnyy,62.5353,113.9611,6.590000000000032,94,100,4.25,RU,2024-08-28
267,gobabis,-22.45,18.9667,8.360000000000014,24,0,3.17,NA,2024-08-28
268,gharavuti,37.5672,68.4469,31.850000000000023,15,40,1.49,TJ,2024-08-28
269,cassilandia,-19.1133,-51.7342,18.090000000000032,31,0,2.16,BR,2024-08-28
270,machachi,-0.5,-78.5667,9.310000000000002,87,13,3.39,EC,2024-08-28
271,okhotsk,59.3833,143.3,17.129999999999995,65,50,2.81,RU,2024-08-28
272,paramonga,-10.6667,-77.8333,16.180000000000007,89,53,3.79,PE,2024-08-28
273,al bawiti,28.3492,28.8659,28.560000000000002,45,76,4.27,EG,2024-08-28
274,kayangel,8.0823,134.7173,28.890000000000043,69,93,1.85,PW,2024-08-28
275,holualoa,19.6228,-155.9522,23.640000000000043,85,83,2.42,US,2024-08-28
276,keelung,25.1283,121.7419,35.94,56,99,1.8,TW,2024-08-28
277,ulaangom,49.9811,92.0667,23.350000000000023,25,32,3.01,MN,2024-08-28
278,chonchi,-42.6128,-73.8092,3.400000000000034,94,48,1.25,CL,2024-08-28
279,midvagur,62.0511,-7.1939,11.460000000000036,100,100,6.69,FO,2024-08-28
280,shingu,33.7333,135.9833,28.99000000000001,73,66,2.84,JP,2024-08-28
281,mar del plata,-38.0023,-57.5575,8.400000000000034,90,6,0.89,AR,2024-08-28
282,menongue,-14.6585,17.691,12.010000000000048,29,7,2.27,AO,2024-08-28
283,itaituba,-4.2761,-55.9836,25.200000000000045,47,14,0.33,BR,2024-08-28
284,chahuites,16.2833,-94.1833,25.590000000000032,88,89,1.23,MX,2024-08-28
285,bradford,53.7939,-1.7521,15.580000000000041,86,75,2.06,GB,2024-08-28
286,dumai,1.6833,101.45,32.54000000000002,47,97,1.33,ID,2024-08-28
287,madang,-5.2246,145.7966,28.220000000000027,75,38,4.75,PG,2024-08-28
288,isiro,2.7739,27.616,19.52000000000004,99,97,0.29,CD,2024-08-28
289,nova sintra,14.8667,-24.7167,26.24000000000001,84,64,3.41,CV,2024-08-28
290,nadym,65.5333,72.5167,18.58000000000004,64,78,3.42,RU,2024-08-28
291,pindushi,62.9152,34.58,13.390000000000043,71,34,3.19,RU,2024-08-28
292,wabag,-5.4781,143.7021,21.060000000000002,69,23,2.51,PG,2024-08-28
293,huancabamba,-5.2386,-79.4506,13.330000000000041,89,8,4.14,PE,2024-08-28
294,changyon,38.2508,125.0961,30.27000000000004,58,0,2.73,KP,2024-08-28
295,cabugao,17.7931,120.4578,28.27000000000004,73,82,4.48,PH,2024-08-28
296,quesnoy-sur-deule,50.7167,3.0,15.010000000000048,94,0,1.54,FR,2024-08-28
297,nagqu,31.5,92.0,15.240000000000009,37,1,2.08,CN,2024-08-28
298,maintirano,-18.0667,44.0167,24.25,58,0,4.01,MG,2024-08-28
299,vila do maio,15.1333,-23.2167,26.52000000000004,85,99,3.39,CV,2024-08-28
300,bakaly,55.1789,53.8028,19.850000000000023,66,5,3.5,RU,2024-08-28
301,suva,-18.1416,178.4415,23.710000000000036,64,40,3.09,FJ,2024-08-28
302,poyarkovo,49.6,128.6833,25.200000000000045,52,100,6.11,RU,2024-08-28
303,boguchany,58.3814,97.4531,14.400000000000034,92,100,1.55,RU,2024-08-28
304,amboasary,-25.0333,46.3833,22.5,59,0,2.66,MG,2024-08-28
305,kotka,60.4664,26.9458,14.07000000000005,81,99,5.94,FI,2024-08-28
306,tadine,-21.55,167.8833,22.29000000000002,63,10,6.67,NC,2024-08-28
307,luderitz,-26.6481,15.1594,11.120000000000005,78,1,7.43,NA,2024-08-28
308,bima,-8.4667,118.7167,37.58000000000004,22,44,3.33,ID,2024-08-28
309,las palmas,28.4204,-14.0131,20.439999999999998,78,40,5.66,ES,2024-08-28
310,debre tabor,11.85,38.0167,11.270000000000039,92,100,0.79,ET,2024-08-28
311,berdigestyakh,62.0989,126.6992,11.700000000000045,57,100,0.88,RU,2024-08-28
312,gadzhiyevo,69.2551,33.3362,12.120000000000005,71,69,12.44,RU,2024-08-28
313,bamboo flat,11.7,92.7167,29.05000000000001,79,100,3.6,IN,2024-08-28
